name,category,price_range,estado,texto_recomendacao_limpo
le festin - hambúrguer de coxinha,lanches,cheapest,mg,le festin hamburguer de coxinha lanches cheapest mg
égua do caranguejo,frutos do mar,cheapest,pa,egua do caranguejo frutos do mar cheapest pa
hamburgueria bocaiuva,lanches,cheapest,mg,hamburgueria bocaiuva lanches cheapest mg
celias grill,brasileira,cheapest,go,celias grill brasileira cheapest go
sertão paulista,carnes,cheapest,al,sertao paulista carnes cheapest al
salgadics lajeado,salgados,cheapest,sp,salgadics lajeado salgados cheapest sp
shekinah batataria,lanches,cheapest,sp,shekinah batataria lanches cheapest sp
ratatouille,pizza,cheapest,rj,ratatouille pizza cheapest rj
dona maria,brasileira,cheapest,ba,dona maria brasileira cheapest ba
do quintal,brasileira,cheapest,pr,do quintal brasileira cheapest pr
costela steakhouse,brasileira,cheapest,sp,costela steakhouse brasileira cheapest sp
porks restaurante,brasileira,expensive,sp,porks restaurante brasileira expensive sp
palácio dos doces,doces & bolos,cheap,sp,palacio dos doces doces bolos cheap sp
maxx burguer - hamburgueria artesanal,lanches,cheap,pe,maxx burguer hamburgueria artesanal lanches cheap pe
delig - doces e sobremesas,lanches,cheapest,sp,delig doces e sobremesas lanches cheapest sp
king pizzaria,pizza,moderate,rs,king pizzaria pizza moderate rs
2 r distribuidora de bebidas,bebidas,cheapest,se,2 r distribuidora de bebidas bebidas cheapest se
cozinha calamares,brasileira,cheapest,pr,cozinha calamares brasileira cheapest pr
realeza padaria e restaurante,padaria,cheapest,sp,realeza padaria e restaurante padaria cheapest sp
delicias da jeh,doces & bolos,cheapest,sp,delicias da jeh doces bolos cheapest sp
puro sabor marmitex,brasileira,cheapest,sc,puro sabor marmitex brasileira cheapest sc
cia do churrasco,carnes,moderate,mg,cia do churrasco carnes moderate mg
crepe do careca,lanches,cheapest,rj,crepe do careca lanches cheapest rj
girls gourmet,lanches,cheapest,rj,girls gourmet lanches cheapest rj
rosy@lanches,marmita,cheapest,ce,rosy lanches marmita cheapest ce
sabores da vida t.l,doces & bolos,cheapest,sp,sabores da vida t l doces bolos cheapest sp
mr. pretzels - mag shopping,lanches,cheapest,pb,mr pretzels mag shopping lanches cheapest pb
guloso burguer,brasileira,cheapest,pe,guloso burguer brasileira cheapest pe
"hot pig, sorvetoso e açaí maná",hambúrguer,cheapest,sc,hot pig sorvetoso e acai mana hamburguer cheapest sc
vitor lanches & petiscos,lanches,cheapest,rj,vitor lanches petiscos lanches cheapest rj
bar do marquim,brasileira,cheapest,mg,bar do marquim brasileira cheapest mg
dado’s burguer,lanches,cheap,rj,dados burguer lanches cheap rj
fj pizzaria beira rio,pizza,cheapest,pe,fj pizzaria beira rio pizza cheapest pe
binha cakes delivery,lanches,cheapest,rj,binha cakes delivery lanches cheapest rj
varzea super dog especial,lanches,cheapest,pe,varzea super dog especial lanches cheapest pe
acai power,brasileira,cheapest,rn,acai power brasileira cheapest rn
di frango ventura,brasileira,cheapest,pr,di frango ventura brasileira cheapest pr
gelo sul distribuidora,bebidas,cheapest,sp,gelo sul distribuidora bebidas cheapest sp
johnnys pizza,pizza,expensive,ba,johnnys pizza pizza expensive ba
arizona hamburgueria,lanches,cheapest,pa,arizona hamburgueria lanches cheapest pa
shake baby,lanches,cheapest,sp,shake baby lanches cheapest sp
sr. pudim e doces,brasileira,cheapest,sp,sr pudim e doces brasileira cheapest sp
comida japonesa,japonesa,cheapest,sp,comida japonesa japonesa cheapest sp
açai e pizzaria nova bella,pizza,cheapest,rj,acai e pizzaria nova bella pizza cheapest rj
tabacaria e adega 23,bebidas,expensive,sp,tabacaria e adega 23 bebidas expensive sp
bobó shake,sorvetes,cheapest,pe,bobo shake sorvetes cheapest pe
espaço energia vital,brasileira,cheapest,ms,espaco energia vital brasileira cheapest ms
in brasa burger,lanches,cheapest,rj,in brasa burger lanches cheapest rj
bomburguer,lanches,moderate,rs,bomburguer lanches moderate rs
vingadores burguer's,lanches,cheapest,mg,vingadores burguer s lanches cheapest mg
sushi una,japonesa,cheapest,sc,sushi una japonesa cheapest sc
meu ovo - omeleteria,brasileira,cheapest,sp,meu ovo omeleteria brasileira cheapest sp
dellicias de familia,hambúrguer,cheapest,ap,dellicias de familia hamburguer cheapest ap
don gordone,pizza,moderate,sp,don gordone pizza moderate sp
creperia e hamburgueria goumert,lanches,cheapest,go,creperia e hamburgueria goumert lanches cheapest go
arepa's,colombiana,cheapest,sc,arepa s colombiana cheapest sc
sushi boy delivery japones,japonesa,moderate,sp,sushi boy delivery japones japonesa moderate sp
pizzaria e restaurante hora extra,brasileira,cheapest,pa,pizzaria e restaurante hora extra brasileira cheapest pa
falcao lanches,lanches,cheapest,al,falcao lanches lanches cheapest al
tempero novo marmitaria,brasileira,cheapest,mg,tempero novo marmitaria brasileira cheapest mg
98 lanchonete,brasileira,cheapest,sp,98 lanchonete brasileira cheapest sp
zonta - salgados,salgados,moderate,sp,zonta salgados salgados moderate sp
tudo com pastel,pastel,cheapest,sp,tudo com pastel pastel cheapest sp
burguer fight & petisco's,brasileira,cheapest,rj,burguer fight petisco s brasileira cheapest rj
