name,category,price_range,estado,texto_recomendacao_limpo
cantina arte & sabor,marmita,cheapest,df,cantina arte sabor marmita cheapest df
raruty açaí raiz,açaí,cheapest,df,raruty acai raiz acai cheapest df
toma na kombi,bebidas,moderate,df,toma na kombi bebidas moderate df
churrasquinho do barriga´s,carnes,cheapest,df,churrasquinho do barriga s carnes cheapest df
prime restaurante,brasileira,cheapest,df,prime restaurante brasileira cheapest df
clara quitutes & cia,lanches,cheap,df,clara quitutes cia lanches cheap df
loca como tú madre,brasileira,most_expensive,df,loca como tu madre brasileira most expensive df
frutos de goiás 710 sul,congelados,cheapest,df,frutos de goias 710 sul congelados cheapest df
lemos cozinha,lanches,moderate,df,lemos cozinha lanches moderate df
club house burguer,lanches,moderate,df,club house burguer lanches moderate df
caldeirão furado burger,lanches,cheapest,df,caldeirao furado burger lanches cheapest df
siapastel,pastel,cheapest,df,siapastel pastel cheapest df
indian curry house,indiana,moderate,df,indian curry house indiana moderate df
ahmed gastro bar,árabe,moderate,df,ahmed gastro bar arabe moderate df
cantinho do sabor,brasileira,cheapest,df,cantinho do sabor brasileira cheapest df
jungle bar,bebidas,expensive,df,jungle bar bebidas expensive df
comidas da marizete,brasileira,cheapest,df,comidas da marizete brasileira cheapest df
dedeos,brasileira,cheapest,df,dedeos brasileira cheapest df
panelinhas do brasil,brasileira,expensive,df,panelinhas do brasil brasileira expensive df
slow and low,lanches,moderate,df,slow and low lanches moderate df
batata recheada e jantinha suelchef,lanches,cheap,df,batata recheada e jantinha suelchef lanches cheap df
capital dos bolos 312 norte,doces & bolos,cheapest,df,capital dos bolos 312 norte doces bolos cheapest df
bliss culinária saudável,brasileira,moderate,df,bliss culinaria saudavel brasileira moderate df
lobo dog,lanches,cheap,df,lobo dog lanches cheap df
kelly crepes & massas,lanches,cheapest,df,kelly crepes massas lanches cheapest df
imperador buffet delivery,brasileira,moderate,df,imperador buffet delivery brasileira moderate df
savassi naturale,brasileira,moderate,df,savassi naturale brasileira moderate df
lanchonete o pão de queijo,salgados,cheapest,df,lanchonete o pao de queijo salgados cheapest df
salute restaurante,brasileira,cheapest,df,salute restaurante brasileira cheapest df
feirinha delivery de frutas & verduras 2,mercado,most_expensive,df,feirinha delivery de frutas verduras 2 mercado most expensive df
pastifício zanani,italiana,cheapest,df,pastificio zanani italiana cheapest df
pizzaria grãos do cerrado,pizza,cheapest,df,pizzaria graos do cerrado pizza cheapest df
garagem dogburguer,lanches,cheapest,df,garagem dogburguer lanches cheapest df
bomba capital,lanches,cheapest,df,bomba capital lanches cheapest df
churrasquinho do galego,carnes,moderate,df,churrasquinho do galego carnes moderate df
reis dos caldos & massas,brasileira,moderate,df,reis dos caldos massas brasileira moderate df
tapioca da zi,lanches,cheapest,df,tapioca da zi lanches cheapest df
brasil express,lanches,cheapest,df,brasil express lanches cheapest df
the chicago burger,lanches,cheapest,df,the chicago burger lanches cheapest df
doce gourmet,doces & bolos,cheapest,df,doce gourmet doces bolos cheapest df
zahle arabic food,lanches,cheapest,df,zahle arabic food lanches cheapest df
hamburgueria dos anjos,lanches,moderate,df,hamburgueria dos anjos lanches moderate df
